id_banque,nom_banque,type,e_banking_abonnement,e_banking_consultation_solde,e_banking_virement,e_banking_paiment,sms_banking_abonnement,sms_banking_virement_en_agence,sms_banking_virement_hors_agence,service_contact
186,BANQUE NATIONALE D ALGERIE - BNA,personnel,,5 DA /opération,gratuit,,60 DA,10 DA /opération,10 DA /opération,
186,BANQUE NATIONALE D ALGERIE - BNA,professionnel,800 DA / Mois,,10 DA /opération,,18 DA,,,
186,BANQUE NATIONALE D ALGERIE - BNA,entreprise,800 DA / Mois (Deuxième compte est facturé à 50%),,10 DA /opération,10 DA HT,18 DA,,,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,personnel,Gratuit,Gratuit,,,,,,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,professionnel,,,,,,,,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,entreprise,,,,,,,,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,personnel,,,,,,,,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,professionnel,,,,,,,,
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,entreprise,,,,,,,,
469,CREDIT POPULAIRE D ALGERIE - CPA,personnel,,,,,50DA/mois/compte,,,
469,CREDIT POPULAIRE D ALGERIE - CPA,professionnel,,,,,50DA/mois/compte,,,
469,CREDIT POPULAIRE D ALGERIE - CPA,entreprise,,,,,50DA/mois/compte,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,personnel,Gratuit,,,,100 DZD/mois,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,professionnel,800 DZD,,,,500 DZD/mois,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,entreprise,1000 DZD,,,,,,,
353,NATIXIS BANQUE,personnel,Gratuit,Gratuit,Gratuit,,,,,
353,NATIXIS BANQUE,professionnel,Gratuit,Gratuit,Gratuit,,,,,
353,NATIXIS BANQUE,entreprise,Gratuit,Gratuit,Gratuit,,,,,
876,SOCIETE GENERALE ALGERIE,personnel,,,,,,,,
876,SOCIETE GENERALE ALGERIE,professionnel,,,,,,,,
876,SOCIETE GENERALE ALGERIE,entreprise,,,,,,,,
175,ARAB BANK PLC ALGERIA,personnel,gratuit,,,,"ooredoo 10,1/sms, djezzy 6,1/sms, mobilis 8,1/sms, international 16/sms",,,
175,ARAB BANK PLC ALGERIA,professionnel,,,,,,,,
175,ARAB BANK PLC ALGERIA,entreprise,,,,,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,personnel,,,,,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,professionnel,,,,,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,entreprise,,,,,,,,
2037,TRUST BANK ALGERIA,personnel,,,,,,,,
2037,TRUST BANK ALGERIA,professionnel,,,,,,,,
2037,TRUST BANK ALGERIA,entreprise,,,,,,,,
339345,GULF BANK ALGERIA,personnel,,,,,,,,
339345,GULF BANK ALGERIA,professionnel,,,,,,,,
339345,GULF BANK ALGERIA,entreprise,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,personnel,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,professionnel,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,entreprise,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,personnel,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,professionnel,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,entreprise,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,personnel,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,professionnel,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,entreprise,,,,,,,,
205,AL SALAM BANK - ALGERIA - SPA,personnel,gratuit,Gratuit,Gratuit,,,,,
205,AL SALAM BANK - ALGERIA - SPA,professionnel,gratuit,Gratuit,Gratuit,,,,,
205,AL SALAM BANK - ALGERIA - SPA,entreprise,gratuit,Gratuit,"50 en agence, 150 hors agence",,,,,
