id_banque,nom_banque,type,creation_bank_card,renouvelement_bank_card,remplacement_bank_card,edition_code_confidentiel_bank_card,retrait_intra_bancaire,retrait_inter_bancaire,creation_visa,renouvelement_visa,remplacement_visa,edition_code_confidentiel_visa
186,BANQUE NATIONALE D ALGERIE - BNA,personnel,Gratuit,,,Classique/ Gold/ Epargne 150 DA/ 200 DA/ 150 DA,20 DA HT,35 DA TTC,,,,
186,BANQUE NATIONALE D ALGERIE - BNA,professionnel,Gratuit,Gratuit,, Classique/ Gold 150/ 200 DA,20 DA HT,35 DA TTC,,,,
186,BANQUE NATIONALE D ALGERIE - BNA,entreprise,Gratuit,Gratuit,,Classique/ Gold 150/ 200 DA,20 DA HT,35 DA TTC,,,,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,personnel,,,,,15 DA,29.41 DA,"titanium 17000 DA, classique 12000 DA/ 2 ans","titanium 5000 DA, classique 3000 DA ","17000 DA, classique 12000 DA/ 2 ans",500 DA
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,professionnel,,,,,,,,,,
278,BANQUE DE L AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,entreprise,,,,,15 DA,29.41 DA,"titanium 17000 DA, classique 12000 DA/ 2 ans","titanium 5000 DA, classique 3000 DA ","17000 DA, classique 12000 DA/ 2 ans",500 DA
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,personnel,"classique gratuit, gold gratuit",,"classique 400da, gold 800da","classique 200, gold 300",20 da,35 da,"classique 2000 DA, gold 5000 DA, platinium 14000 DA","classique 2000 DA, gold 5000 DA, platinium 14000 DA","classique 2000 DA, gold 5000 DA, platinium 14000 DA","500da, platinium 1000 DA"
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,professionnel,"classique gratuit, gold gratuit",,"classique 400da, gold 800da","classique 200, gold 300",20 da,35 da,"classique 2000 DA, gold 5000 DA, platinium 14000 DA","classique 2000 DA, gold 5000 DA, platinium 14000 DA","classique 2000 DA, gold 5000 DA, platinium 14000 DA","500da, platinium 1000 DA"
736,BANQUE DE DEVELOPPEMENT LOCAL - BDL,entreprise,,,,,,,,,,
469,CREDIT POPULAIRE D ALGERIE - CPA,personnel,Gratuit,Gratuit,,Gratuit,25 DA,40 DA,"Classique 6000DA/an, Gold 9000DA/an",,,
469,CREDIT POPULAIRE D ALGERIE - CPA,professionnel,Gratuit,Gratuit,Gratuit,Gratuit,25 DA,40 DA,,,,
469,CREDIT POPULAIRE D ALGERIE - CPA,entreprise,Gratuit,Gratuit,Gratuit,Gratuit,25 DA,40 DA,,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,personnel,Gratuit: 850DZD/an(gold) 650DZD/an(classique),Gratuit,Gratuit,250 DZD,Gratuit,35 DZD,,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,professionnel,Gratuit: 850DZD/an(gold) 650DZD/an(classique),Gratuit,Gratuit,250 DZD,Gratuit,35 DZD,,,,
214,ARAB BANKING CORPORATION ALGERIE - ABC,entreprise,Gratuit: 850DZD/an(gold) 650DZD/an(classique),Gratuit,Gratuit,250 DZD,Gratuit,35 DZD,,,,
353,NATIXIS BANQUE,personnel,Gratuit,1 190 DA ,,500 DA,Gratuit,Gratuit,"First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA","First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA","First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA",
353,NATIXIS BANQUE,professionnel,Gratuit,1 190 DA ,,500 DA,Gratuit,Gratuit,"First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA","First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA","First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA",
353,NATIXIS BANQUE,entreprise,Gratuit,1 190 DA ,,500 DA,Gratuit,Gratuit,"First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA","First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA","First: 5 000 DA, Gold: 14 000 DA, Platinium: 35 000 DA",
876,SOCIETE GENERALE ALGERIE,personnel,,,,,,,,,,
876,SOCIETE GENERALE ALGERIE,professionnel,,,,,,,,,,
876,SOCIETE GENERALE ALGERIE,entreprise,,,,,,,,,,
175,ARAB BANK PLC ALGERIA,personnel,gratuit,gratuit,"550,00","550,00","20,00","29,41","gold Limite Minimale 1000 EUR - 5000da/an , platinium Limite Minimelc 5 000.00 EUR - 12000da/an, signature Limite Minimelc 10 000.00 EUR - 20000da/an","gold 5000 da, platinium 12 000 da, signarture 20 000 da",,1500
175,ARAB BANK PLC ALGERIA,professionnel,,,,,,,,,,
175,ARAB BANK PLC ALGERIA,entreprise,gratuit,gratuit,2000,200,20,29.41,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,personnel,,,,,,,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,professionnel,,,,,,,,,,
366,B.N.P.-PARIBAS EL DJAZAIR,entreprise,,,,,,,,,,
2037,TRUST BANK ALGERIA,personnel,,,,,,,,,,
2037,TRUST BANK ALGERIA,professionnel,,,,,,,,,,
2037,TRUST BANK ALGERIA,entreprise,,,,,,,,,,
339345,GULF BANK ALGERIA,personnel,,,,,,,,,,
339345,GULF BANK ALGERIA,professionnel,,,,,,,,,,
339345,GULF BANK ALGERIA,entreprise,,,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,personnel,,,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,professionnel,,,,,,,,,,
45378,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,entreprise,,,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,personnel,,,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,professionnel,,,,,,,,,,
2437,FRANSABANK EL-DJAZAIR,entreprise,,,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,personnel,,,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,professionnel,,,,,,,,,,
87258,CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIE,entreprise,,,,,,,,,,
205,AL SALAM BANK - ALGERIA - SPA,personnel,"classique 450,00, premium 550,00, gold 650,00 / an",,,200,20,29.41,"prepaye 2000,00, classique 4000,00, gold 6500,00, platinium 14000,00 / an",,,1000
205,AL SALAM BANK - ALGERIA - SPA,professionnel,"classique 450,00, premium 550,00, gold 650,00 / an",,,200,20,29.41,"prepaye 2000,00, classique 4000,00, gold 6500,00, platinium 14000,00 / an",,,1000
205,AL SALAM BANK - ALGERIA - SPA,entreprise,"classique 450,00, premium 550,00, gold 650,00 / an",,,200,20,29.41,"prepaye 2000,00, classique 4000,00, gold 6500,00, platinium 14000,00 / an",,,1000
