,banque,type_prestation,creation_bank_card,renouvelement_bank_card,remplacement_bank_card,edition_code_confidentiel_bank_card,retrait_intra_bancaire,retrait_inter_bancaire,creation_visa,renouvelement_visa,remplacement_visa,edition_code_confidentiel_visa
0,BANQUE EXTÉRIEURE D’ALGÉRIE « BEA »,particulier,,,,,,,,,,
1,BANQUE EXTÉRIEURE D’ALGÉRIE « BEA »,professionnel,,,,,,,,,,
2,BANQUE EXTÉRIEURE D’ALGÉRIE « BEA »,entreprise,,,,,,,,,,
3,BANQUE NATIONALE D’ALGÉRIE « BNA »,particulier,,,,,,,,,,
4,BANQUE NATIONALE D’ALGÉRIE « BNA »,professionnel,,,,,,,,,,
5,BANQUE NATIONALE D’ALGÉRIE « BNA »,entreprise,,,,,,,,,,
6,BANQUE DE L’AGRICULTURE ET DU DÉVELOPPEMENT RURAL « BADR »,particulier,,,,,,,,,,
7,BANQUE DE L’AGRICULTURE ET DU DÉVELOPPEMENT RURAL « BADR »,professionnel,,,,,,,,,,
8,BANQUE DE L’AGRICULTURE ET DU DÉVELOPPEMENT RURAL « BADR »,entreprise,,,,,,,,,,
9,BANQUE DE DÉVELOPPEMENT LOCAL « BDL »,particulier,,,,,,,,,,
10,BANQUE DE DÉVELOPPEMENT LOCAL « BDL »,professionnel,,,,,,,,,,
11,BANQUE DE DÉVELOPPEMENT LOCAL « BDL »,entreprise,,,,,,,,,,
12,CRÉDIT POPULAIRE D’ALGÉRIE « CPA »,particulier,,,,,,,,,,
13,CRÉDIT POPULAIRE D’ALGÉRIE « CPA »,professionnel,,,,,,,,,,
14,CRÉDIT POPULAIRE D’ALGÉRIE « CPA »,entreprise,,,,,,,,,,
15,CAISSE D’ÉPARGNE ET DE PRÉVOYANCE « CNEP BANQUE »,particulier,,,,,,,,,,
16,CAISSE D’ÉPARGNE ET DE PRÉVOYANCE « CNEP BANQUE »,professionnel,,,,,,,,,,
17,CAISSE D’ÉPARGNE ET DE PRÉVOYANCE « CNEP BANQUE »,entreprise,,,,,,,,,,
18,BANQUE AL BARAKA ALGÉRIE,particulier,,,,,,,,,,
19,BANQUE AL BARAKA ALGÉRIE,professionnel,,,,,,,,,,
20,BANQUE AL BARAKA ALGÉRIE,entreprise,,,,,,,,,,
21,ARAB BANKING CORPORATION ALGERIE « ABC »,particulier,,,,,,,,,,
22,ARAB BANKING CORPORATION ALGERIE « ABC »,professionnel,,,,,,,,,,
23,ARAB BANKING CORPORATION ALGERIE « ABC »,entreprise,,,,,,,,,,
24,NATIXIS BANQUE,particulier,,,,,,,,,,
25,NATIXIS BANQUE,professionnel,,,,,,,,,,
26,NATIXIS BANQUE,entreprise,,,,,,,,,,
27,SOCIÉTÉ GÉNÉRALE ALGÉRIE,particulier,,,,,,,,,,
28,SOCIÉTÉ GÉNÉRALE ALGÉRIE,professionnel,,,,,,,,,,
29,SOCIÉTÉ GÉNÉRALE ALGÉRIE,entreprise,,,,,,,,,,
30,CITYBANK N.A. ALGERIA,particulier,,,,,,,,,,
31,CITYBANK N.A. ALGERIA,professionnel,,,,,,,,,,
32,CITYBANK N.A. ALGERIA,entreprise,,,,,,,,,,
33,ARAB BANK PLC ALGERIA,particulier,,,,,,,,,,
34,ARAB BANK PLC ALGERIA,professionnel,,,,,,,,,,
35,ARAB BANK PLC ALGERIA,entreprise,,,,,,,,,,
36,B.N.P.-PARIBAS EL DJAZAIR,particulier,,,,,,,,,,
37,B.N.P.-PARIBAS EL DJAZAIR,professionnel,,,,,,,,,,
38,B.N.P.-PARIBAS EL DJAZAIR,entreprise,,,,,,,,,,
39,TRUST BANK ALGERIA,particulier,,,,,,,,,,
40,TRUST BANK ALGERIA,professionnel,,,,,,,,,,
41,TRUST BANK ALGERIA,entreprise,,,,,,,,,,
42,GULF BANK ALGERIA,particulier,,,,,,,,,,
43,GULF BANK ALGERIA,professionnel,,,,,,,,,,
44,GULF BANK ALGERIA,entreprise,,,,,,,,,,
45,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,particulier,,,,,,,,,,
46,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,professionnel,,,,,,,,,,
47,THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,entreprise,,,,,,,,,,
48,FRANSABANK EL-DJAZAIR,particulier,,,,,,,,,,
49,FRANSABANK EL-DJAZAIR,professionnel,,,,,,,,,,
50,FRANSABANK EL-DJAZAIR,entreprise,,,,,,,,,,
51,CRÉDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK – ALGERIEAL SALAM BANK – ALGERIA – SPA,particulier,,,,,,,,,,
52,CRÉDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK – ALGERIEAL SALAM BANK – ALGERIA – SPA,professionnel,,,,,,,,,,
53,CRÉDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK – ALGERIEAL SALAM BANK – ALGERIA – SPA,entreprise,,,,,,,,,,
54,H.S.B.C. ALGERIE (succursale de banque),particulier,,,,,,,,,,
55,H.S.B.C. ALGERIE (succursale de banque),professionnel,,,,,,,,,,
56,H.S.B.C. ALGERIE (succursale de banque),entreprise,,,,,,,,,,
