banque,type_prestation,versement_en_agence,versement_hors_agence,virement_en_agence,virement_hors_agence,prelevement_en_agence,prelevement_hors_agence,retraits_en_agence,retraits_hors_agence,payment_cheque_en_agence,payment_cheque_hors_agence,vente_devise,achat_devise
BANQUE EXTERIEURE D'ALGERIE - BEA,particulier,,,,,,,,,,,,
BANQUE EXTERIEURE D'ALGERIE - BEA,professionnel,,,,,,,,,,,,
BANQUE EXTERIEURE D'ALGERIE - BEA,entreprise,,,,,,,,,,,,
BANQUE NATIONALE D'ALGERIE - BNA,particulier,,,,,,,,,,,,
BANQUE NATIONALE D'ALGERIE - BNA,professionnel,,,,,,,,,,,,
BANQUE NATIONALE D'ALGERIE - BNA,entreprise,,,,,,,,,,,,
BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,particulier,,,,,,,,,,,,
BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,professionnel,,,,,,,,,,,,
BANQUE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL - BADR,entreprise,,,,,,,,,,,,
BANQUE DE DEVELOPPEMENT LOCAL - BDL,particulier,,,,,,,,,,,,
BANQUE DE DEVELOPPEMENT LOCAL - BDL,professionnel,,,,,,,,,,,,
BANQUE DE DEVELOPPEMENT LOCAL - BDL,entreprise,,,,,,,,,,,,
CREDIT POPULAIRE D'ALGERIE - CPA,particulier,,,,,,,,,,,,
CREDIT POPULAIRE D'ALGERIE - CPA,professionnel,,,,,,,,,,,,
CREDIT POPULAIRE D'ALGERIE - CPA,entreprise,,,,,,,,,,,,
CAISSE D'EPARGNE ET DE PREVOYANCE - CNEP BANQUE,particulier,,,,,,,,,,,,
CAISSE D'EPARGNE ET DE PREVOYANCE - CNEP BANQUE,professionnel,,,,,,,,,,,,
CAISSE D'EPARGNE ET DE PREVOYANCE - CNEP BANQUE,entreprise,,,,,,,,,,,,
BANQUE AL BARAKA ALGERIE,particulier,,,,,,,,,,,,
BANQUE AL BARAKA ALGERIE,professionnel,,,,,,,,,,,,
BANQUE AL BARAKA ALGERIE,entreprise,,,,,,,,,,,,
ARAB BANKING CORPORATION ALGERIE - ABC,particulier,,,,,,,,,,,,
ARAB BANKING CORPORATION ALGERIE - ABC,professionnel,,,,,,,,,,,,
ARAB BANKING CORPORATION ALGERIE - ABC,entreprise,,,,,,,,,,,,
NATIXIS BANQUE,particulier,,,,,,,,,,,,
NATIXIS BANQUE,professionnel,,,,,,,,,,,,
NATIXIS BANQUE,entreprise,,,,,,,,,,,,
SOCIETE GENERALE ALGERIE,particulier,,,,,,,,,,,,
SOCIETE GENERALE ALGERIE,professionnel,,,,,,,,,,,,
SOCIETE GENERALE ALGERIE,entreprise,,,,,,,,,,,,
CITYBANK N.A. ALGERIA,particulier,,,,,,,,,,,,
CITYBANK N.A. ALGERIA,professionnel,,,,,,,,,,,,
CITYBANK N.A. ALGERIA,entreprise,,,,,,,,,,,,
ARAB BANK PLC ALGERIA,particulier,,,,,,,,,,,,
ARAB BANK PLC ALGERIA,professionnel,,,,,,,,,,,,
ARAB BANK PLC ALGERIA,entreprise,,,,,,,,,,,,
B.N.P.-PARIBAS EL DJAZAIR,particulier,,,,,,,,,,,,
B.N.P.-PARIBAS EL DJAZAIR,professionnel,,,,,,,,,,,,
B.N.P.-PARIBAS EL DJAZAIR,entreprise,,,,,,,,,,,,
TRUST BANK ALGERIA,particulier,,,,,,,,,,,,
TRUST BANK ALGERIA,professionnel,,,,,,,,,,,,
TRUST BANK ALGERIA,entreprise,,,,,,,,,,,,
GULF BANK ALGERIA,particulier,,,,,,,,,,,,
GULF BANK ALGERIA,professionnel,,,,,,,,,,,,
GULF BANK ALGERIA,entreprise,,,,,,,,,,,,
THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,particulier,,,,,,,,,,,,
THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,professionnel,,,,,,,,,,,,
THE HOUSING BANK FOR TRADE AND FINANCE-ALGERIA,entreprise,,,,,,,,,,,,
FRANSABANK EL-DJAZAIR,particulier,,,,,,,,,,,,
FRANSABANK EL-DJAZAIR,professionnel,,,,,,,,,,,,
FRANSABANK EL-DJAZAIR,entreprise,,,,,,,,,,,,
CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIEAL SALAM BANK - ALGERIA - SPA,particulier,,,,,,,,,,,,
CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIEAL SALAM BANK - ALGERIA - SPA,professionnel,,,,,,,,,,,,
CREDIT AGRICOLE CORPORATE ET INVESTISSEMENT BANK - ALGERIEAL SALAM BANK - ALGERIA - SPA,entreprise,,,,,,,,,,,,
H.S.B.C. ALGERIE (succursale de banque),particulier,,,,,,,,,,,,
H.S.B.C. ALGERIE (succursale de banque),professionnel,,,,,,,,,,,,
H.S.B.C. ALGERIE (succursale de banque),entreprise,,,,,,,,,,,,
